PLOT_CODE,TYPHA_PRESENT,SITE,REFERENCE,SAMPLE_YEAR,TYPE,INLAND,SHEAR_BOOM,LOG_FENCE,OFFSHORE_STRUCTURE,CREATION_YR,AGE,SAMPLING_AGE,AREA_MAPPED,AREA_INTENDED,RIVER,ARM,M_UPRIVER,KM_UPRIVER,GRAZING,ELEVATION,ELEV_ADJ,ELEV_ADJ_D,PROX_CHAN,CARELYN_MH,ALL_RICH,NAT_RICH,NN_RICH,SHANN,SIMP,RC_Native,RC_NonNative,RC_Invasive,RC_Unknown
04-001-1-07,no,04-001,No,2015,Protruding,No,NO,NO,NO,1990,31,25,3060.15,3461,Fraser,North,2676,2.68,0,0.389999986,0.189999986,1.89999986,2.91,NA,1,1,0,0,0,100,0,0,0
04-001-1-08,no,04-001,No,2015,Protruding,No,NO,NO,NO,1990,31,25,3060.15,3461,Fraser,North,2676,2.68,0,0.100000001,-0.099999999,-0.99999999,2.97,NA,2,2,0,0.680629,0.487535,100,0,0,0
04-001-1-09,no,04-001,No,2015,Protruding,No,NO,NO,NO,1990,31,25,3060.15,3461,Fraser,North,2676,2.68,0,0.230000004,0.030000004,0.30000004,5.14,87,2,2,0,0.098039,0.0392,100,0,0,0
04-001-1-10,no,04-001,No,2015,Protruding,No,NO,NO,NO,1990,31,25,3060.15,3461,Fraser,North,2676,2.68,0,0.460000008,0.260000008,2.60000008,16.6,NA,4,4,0,0.355074,0.154869,100,0,0,0
04-001-1-11,no,04-001,No,2015,Protruding,No,NO,NO,NO,1990,31,25,3060.15,3461,Fraser,North,2676,2.68,0,1.090000033,0.890000033,8.90000033,25.07,NA,1,1,0,0,0,100,0,0,0
04-001-1-12,no,04-001,No,2015,Protruding,No,NO,NO,NO,1990,31,25,3060.15,3461,Fraser,North,2676,2.68,0,0.959999979,0.759999979,7.59999979,13.52,NA,1,1,0,0,0,100,0,0,0
04-001-1-13,no,04-001,No,2015,Protruding,No,NO,NO,NO,1990,31,25,3060.15,3461,Fraser,North,2676,2.68,0,1.019999981,1.019999981,10.19999981,26.54,NA,2,2,0,0.693147,0.5,100,0,0,0
04-001-1-14,no,04-001,No,2015,Protruding,No,NO,NO,NO,1990,31,25,3060.15,3461,Fraser,North,2676,2.68,0,1.059999943,0.859999943,8.59999943,32.08,NA,2,2,0,0.465999,0.290657,100,0,0,0
04-001-1-15,no,04-001,No,2015,Protruding,No,NO,NO,NO,1990,31,25,3060.15,3461,Fraser,North,2676,2.68,0,1.039999962,0.839999962,8.39999962,11.67,NA,1,1,0,0,0,100,0,0,0
04-001-1-16,no,04-001,No,2015,Protruding,No,NO,NO,NO,1990,31,25,3060.15,3461,Fraser,North,2676,2.68,0,0.930000007,0.730000007,7.30000007,6.83,78,3,3,0,0.594024,0.321995,100,0,0,0
04-001-1-17,no,04-001,No,2015,Protruding,No,NO,NO,NO,1990,31,25,3060.15,3461,Fraser,North,2676,2.68,0,1.00999999,0.80999999,8.0999999,15.72,NA,1,1,0,0,0,100,0,0,0
04-001-1-18,no,04-001,No,2015,Protruding,No,NO,NO,NO,1990,31,25,3060.15,3461,Fraser,North,2676,2.68,0,0.899999976,0.699999976,6.99999976,11.96,NA,2,2,0,0.031347,0.009901,100,0,0,0
04-001-1-19,no,04-001,No,2015,Protruding,No,NO,NO,NO,1990,31,25,3060.15,3461,Fraser,North,2676,2.68,0,0.49000001,0.29000001,2.9000001,7.14,109,2,2,0,0.325083,0.18,100,0,0,0
04-001-1-20,no,04-001,No,2015,Protruding,No,NO,NO,NO,1990,31,25,3060.15,3461,Fraser,North,2676,2.68,0,0.790000021,0.590000021,5.90000021,12.03,NA,2,2,0,0.031347,0.009901,100,0,0,0
04-005-1-01,no,04-005,No,2015,Protruding,No,NO,NO,NO,2006,15,9,473.11,3600,Fraser,North,3673,3.67,0,0.819999993,0.619999993,6.19999993,8.34,NA,2,1,1,0,0,93.617,0,6.383,0
04-005-1-02,no,04-005,No,2015,Protruding,No,NO,NO,NO,2006,15,9,473.11,3600,Fraser,North,3673,3.67,0,0.680000007,0.480000007,4.80000007,6.51,107,3,3,0,0.47407,0.269581,100,0,0,0
04-005-1-03,no,04-005,No,2015,Protruding,No,NO,NO,NO,2006,15,9,473.11,3600,Fraser,North,3673,3.67,0,1.070000052,0.870000052,8.70000052,13.13,74,2,1,1,0,0,89.4737,0,10.5263,0
04-005-1-04,no,04-005,No,2015,Protruding,No,NO,NO,NO,2006,15,9,473.11,3600,Fraser,North,3673,3.67,0,1.120000005,0.920000005,9.20000005,12.22,NA,1,1,0,0,0,100,0,0,0
04-005-1-05,no,04-005,No,2015,Protruding,No,NO,NO,NO,2006,15,9,473.11,3600,Fraser,North,3673,3.67,0,1.080000043,0.880000043,8.80000043,11.56,NA,3,2,1,0.098039,0.0392,99.5025,0.4975,0,0
04-005-1-06,no,04-005,No,2015,Protruding,No,NO,NO,NO,2006,15,9,473.11,3600,Fraser,North,3673,3.67,0,1.100000024,0.900000024,9.00000024,13.31,NA,4,2,2,0.056465,0.019998,99,0.5,0.5,0
04-005-1-07,no,04-005,No,2015,Protruding,No,NO,NO,NO,2006,15,9,473.11,3600,Fraser,North,3673,3.67,0,0.889999986,0.689999986,6.89999986,6.63,NA,3,2,1,0.032156,0.010204,97.0149,0,2.9851,0
04-005-1-08,no,04-005,No,2015,Protruding,No,NO,NO,NO,2006,15,9,473.11,3600,Fraser,North,3673,3.67,0,0.850000024,0.650000024,6.50000024,8.03,NA,3,1,2,0,0,89.4737,0,10.5263,0
04-005-1-09,no,04-005,No,2015,Protruding,No,NO,NO,NO,2006,15,9,473.11,3600,Fraser,North,3673,3.67,0,1.100000024,0.900000024,9.00000024,16.59,NA,5,2,3,0.034231,0.010989,93.7824,1.0363,5.1813,0
04-005-1-10,no,04-005,No,2015,Protruding,No,NO,NO,NO,2006,15,9,473.11,3600,Fraser,North,3673,3.67,0,0.930000007,0.730000007,7.30000007,8.78,NA,4,1,3,0,0,94.7368,1.0526,4.2105,0
05-001-1-1,no,05-001,No,2015,Protruding,No,NO,NO,NO,1991,30,24,109.62,70,Fraser,North,6340,6.34,2,1.279999971,1.079999971,10.79999971,5.03,102,11,7,4,0.657093,0.273051,95.9276,2.2624,0,1.81
05-001-1-10,no,05-001,No,2015,Protruding,No,NO,NO,NO,1991,30,24,109.62,70,Fraser,North,6340,6.34,2,0.959999979,0.759999979,7.59999979,1.76,NA,4,3,1,0.429994,0.221065,99.4872,0,0,0.5128
05-001-1-2,no,05-001,No,2015,Protruding,No,NO,NO,NO,1991,30,24,109.62,70,Fraser,North,6340,6.34,2,1.399999976,1.199999976,11.99999976,11.02,96,10,5,5,1.034951,0.596117,91.4798,7.6233,0.8969,0
05-001-1-3,no,05-001,No,2015,Protruding,No,NO,NO,NO,1991,30,24,109.62,70,Fraser,North,6340,6.34,2,1.24000001,1.04000001,10.4000001,9.17,109,8,5,3,1.197803,0.616412,93.8053,1.7699,3.5398,0.885
05-001-1-4,no,05-001,No,2015,Protruding,No,NO,NO,NO,1991,30,24,109.62,70,Fraser,North,6340,6.34,2,1.24000001,1.04000001,10.4000001,9.09,97,11,6,5,0.724934,0.325628,95.671,0.8658,1.7316,1.7316
05-001-1-5,no,05-001,No,2015,Protruding,No,NO,NO,NO,1991,30,24,109.62,70,Fraser,North,6340,6.34,2,1.309999943,1.109999943,11.09999943,9.59,112,10,5,5,0.587127,0.266863,75.8065,4.8387,3.2258,16.129
05-001-1-6,no,05-001,No,2015,Protruding,No,NO,NO,NO,1991,30,24,109.62,70,Fraser,North,6340,6.34,2,1.149999976,0.949999976,9.49999976,7.12,96,5,2,3,0.175975,0.081485,94.8537,3.1282,2.0182,0
05-001-1-7,no,05-001,No,2015,Protruding,No,NO,NO,NO,1991,30,24,109.62,70,Fraser,North,6340,6.34,2,0.939999998,0.739999998,7.39999998,3.74,95,8,5,3,1.021158,0.58314,98.2143,0.8929,0.8929,0
05-001-1-8,no,05-001,No,2015,Protruding,No,NO,NO,NO,1991,30,24,109.62,70,Fraser,North,6340,6.34,2,1.230000019,1.030000019,10.30000019,6.17,97,7,5,2,0.513315,0.212674,90.566,7.5472,1.8868,0
05-001-1-9,no,05-001,No,2015,Protruding,No,NO,NO,NO,1991,30,24,109.62,70,Fraser,North,6340,6.34,2,1.029999971,0.829999971,8.29999971,2.78,114,6,5,1,0.913987,0.508196,99.5885,0.4115,0,0
09-001-A-1-1,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,1.029999971,0.829999971,8.29999971,5.14,62,11,8,3,1.854363,0.819658,23.9024,0,76.0976,0
09-001-A-1-10,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,1.00999999,0.80999999,8.0999999,5.59,174,7,5,2,1.111192,0.544582,48.6486,0,49.5495,1.8018
09-001-A-1-11,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,1.059999943,1.059999943,10.59999943,6.46,NA,3,3,0,1.039721,0.625,100,0,0,0
09-001-A-1-12,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,1.379999995,1.379999995,13.79999995,8.78,NA,5,4,1,1.167387,0.655,74.0741,0,25.9259,0
09-001-A-1-13,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,1.100000024,1.100000024,11.00000024,6.25,NA,6,3,3,0.916465,0.561983,28.2051,15.3846,56.4103,0
09-001-A-1-14,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,1.049999952,0.849999952,8.49999952,5.43,NA,7,5,2,0.94531,0.472656,71.1111,0,28.8889,0
09-001-A-1-15,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,1.029999971,0.829999971,8.29999971,5.11,125,11,8,3,0.953621,0.3968,76.3359,0,20.6107,3.0534
09-001-A-1-16,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,1.059999943,1.059999943,10.59999943,6.66,104,2,2,0,0.59827,0.408163,100,0,0,0
09-001-A-1-17,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,2.25,2.25,22.5,8.77,NA,6,5,1,0.706787,0.330168,87.4016,0,12.5984,0
09-001-A-1-18,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,1.370000005,1.370000005,13.70000005,7.95,59,10,6,4,1.0598,0.520296,62.1145,23.7885,12.3348,1.7621
09-001-A-1-19,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,0.6,0.4,4,0.19,158,7,4,3,1.31973,0.719723,26.5625,0,70.3125,3.125
09-001-A-1-2,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,1.269999981,1.069999981,10.69999981,5.63,NA,8,5,3,1.29987,0.679012,14.876,3.3058,81.8182,0
09-001-A-1-20,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,0.6,0.4,4,0,186,7,5,2,1.511299,0.765755,22.4806,0,77.5194,0
09-001-A-1-3,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,0.800000012,0.600000012,6.00000012,4.08,175,5,3,2,0.81585,0.475207,26.1905,0,73.8095,0
09-001-A-1-4,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,1.080000043,0.880000043,8.80000043,5.5,NA,11,6,5,1.022388,0.465483,21.547,5.5249,66.2983,6.6298
09-001-A-1-5,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,0.74000001,0.54000001,5.4000001,3.66,58,7,4,3,0.962184,0.535147,23.5955,0,76.4045,0
09-001-A-1-6,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,0.899999976,0.899999976,8.99999976,7.22,NA,6,4,2,0.868731,0.435986,30.0885,66.3717,0,3.5398
09-001-A-1-7,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,0.819999993,0.819999993,8.19999993,6.63,75,5,4,1,0.959223,0.517958,90.1961,9.8039,0,0
09-001-A-1-8,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,1.210000038,1.010000038,10.10000038,4.38,125,9,7,2,1.366308,0.634411,80.3922,0,19.6078,0
09-001-A-1-9,no,09-001A,No,2015,Protruding,No,NO,NO,NO,1990,31,25,1282.79,3100,Fraser,Main,11661,11.66,0,0.980000019,0.780000019,7.80000019,4.23,122,9,7,2,0.896378,0.384691,72,0,28,0
09-001-B -1-1,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,1.279999971,1.079999971,10.79999971,2.77,NA,5,1,4,0,0,8.8608,40.5063,50.6329,0
09-001-B -1-10,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,1.320000052,1.120000052,11.20000052,6.3,159,7,3,4,0.942216,0.5568,35.7143,10,50,4.2857
09-001-B -1-11,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,0.5,0.3,3,1.85,NA,8,3,5,0.496796,0.247325,20.1389,6.9444,71.5278,1.3889
09-001-B -1-12,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,1.450000048,1.250000048,12.50000048,7.19,NA,4,3,1,1.098612,0.666667,13.0435,0,86.9565,0
09-001-B -1-13,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,1.340000033,1.140000033,11.40000033,5.42,NA,5,2,3,0.661563,0.46875,6.7227,0,93.2773,0
09-001-B -1-14,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,1.379999995,1.179999995,11.79999995,7.93,NA,4,2,2,0.661563,0.46875,14.0351,0,85.9649,0
09-001-B -1-15,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,1.649999976,1.449999976,14.49999976,4.7,NA,5,2,3,0.679193,0.486111,11.7647,0,85.2941,2.9412
09-001-B -1-16,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,1.450000048,1.450000048,14.50000048,5.83,211,10,9,1,1.594186,0.691769,89.6907,10.3093,0,0
09-001-B -1-17,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,1.210000038,1.010000038,10.10000038,9.32,NA,6,3,3,0.881532,0.554688,14.0351,0,85.9649,0
09-001-B -1-18,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,1.309999943,1.109999943,11.09999943,5.15,NA,5,2,3,0.625491,0.433884,15.0685,13.6986,71.2329,0
09-001-B -1-19,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,1.309999943,1.309999943,13.09999943,4.31,NA,8,4,4,0.897316,0.489408,38.5417,15.625,43.75,2.0833
09-001-B -1-2,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,0.49000001,0.29000001,2.9000001,1.92,51,11,7,4,1.64674,0.768491,35.1351,2.7027,59.4595,2.7027
09-001-B -1-20,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,1.220000029,1.020000029,10.20000029,9.33,NA,7,3,4,1.029653,0.62,38.7597,0,48.062,13.1783
09-001-B -1-3,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,1.00999999,0.80999999,8.0999999,3.35,NA,5,3,2,0.456347,0.222838,79.1667,6.9444,13.8889,0
09-001-B -1-4,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,1.149999976,0.949999976,9.49999976,5.7,134,7,4,3,0.509415,0.236505,42.5926,40.1235,15.4321,1.8519
09-001-B -1-5,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,1.090000033,0.890000033,8.90000033,5.63,106,8,5,3,1.37027,0.72862,47.3251,46.9136,5.7613,0
09-001-B -1-6,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,1.200000048,1.000000048,10.00000048,5.56,113,8,4,4,0.972886,0.575195,51.6129,20.1613,6.4516,21.7742
09-001-B -1-7,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,0.819999993,0.619999993,6.19999993,2.88,144,9,6,3,1.161462,0.615385,73.2394,1.4085,25.3521,0
09-001-B -1-8,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,0.819999993,0.619999993,6.19999993,1.29,123,11,5,6,1.539654,0.770833,16.9014,11.2676,66.9014,4.9296
09-001-B -1-9,no,09-001B,No,2015,Protruding,No,NO,NO,NO,1997,24,18,1982.16,2500,Fraser,Main,10999,11,0,1.320000052,1.120000052,11.20000052,5.61,155,12,6,6,1.246038,0.592747,41.7266,19.4245,35.9712,2.8777
09-002-A-1-1,no,09-002A,No,2015,Embayment,No,NO,NO,NO,1988,33,27,662.37,1680,Fraser,Main,541,0.54,0,1.330000043,1.130000043,11.30000043,4.64,114,4,3,1,0.600318,0.345508,96.4286,0,3.5714,0
09-002-A-1-10,no,09-002A,No,2015,Embayment,No,NO,NO,NO,1988,33,27,662.37,1680,Fraser,Main,541,0.54,0,1.299999952,1.099999952,10.99999952,15.14,118,8,5,3,0.6623,0.313006,91.1894,1.7621,7.0485,0
09-002-A-1-11,no,09-002A,No,2015,Embayment,No,NO,NO,NO,1988,33,27,662.37,1680,Fraser,Main,541,0.54,0,1.25999999,1.05999999,10.5999999,13.66,108,8,5,3,0.599844,0.271093,89.8305,5.0847,5.0847,0
09-002-A-1-12,no,09-002A,No,2015,Embayment,No,NO,NO,NO,1988,33,27,662.37,1680,Fraser,Main,541,0.54,0,1.309999943,1.109999943,11.09999943,10.78,87,10,7,3,1.299594,0.669003,85.5422,1.6064,12.8514,0
09-002-A-1-13,no,09-002A,No,2015,Embayment,No,NO,NO,NO,1988,33,27,662.37,1680,Fraser,Main,541,0.54,0,1.429999948,1.229999948,12.29999948,7.95,96,7,5,2,0.601919,0.280561,84.8739,12.605,2.521,0
09-002-A-1-2,no,09-002A,No,2015,Embayment,No,NO,NO,NO,1988,33,27,662.37,1680,Fraser,Main,541,0.54,0,1.159999967,0.959999967,9.59999967,5.58,117,5,4,1,0.783195,0.425832,96.6667,0,3.3333,0
09-002-A-1-3,no,09-002A,No,2015,Embayment,No,NO,NO,NO,1988,33,27,662.37,1680,Fraser,Main,541,0.54,0,1.039999962,0.839999962,8.39999962,6.57,102,4,4,0,1.280059,0.6944,100,0,0,0
09-002-A-1-4,no,09-002A,No,2015,Embayment,No,NO,NO,NO,1988,33,27,662.37,1680,Fraser,Main,541,0.54,0,1.200000048,1.000000048,10.00000048,6.88,121,5,5,0,1.244185,0.622675,100,0,0,0
09-002-A-1-5,no,09-002A,No,2015,Embayment,No,NO,NO,NO,1988,33,27,662.37,1680,Fraser,Main,541,0.54,0,1.149999976,0.949999976,9.49999976,9.3,112,4,4,0,1.129736,0.653722,100,0,0,0
09-002-A-1-6,no,09-002A,No,2015,Embayment,No,NO,NO,NO,1988,33,27,662.37,1680,Fraser,Main,541,0.54,0,1.029999971,0.829999971,8.29999971,10.7,114,8,7,1,1.001748,0.537904,94.2857,0,5.7143,0
09-002-A-1-7,no,09-002A,No,2015,Embayment,No,NO,NO,NO,1988,33,27,662.37,1680,Fraser,Main,541,0.54,0,1,0.8,8,11.9,125,5,5,0,0.566736,0.248264,100,0,0,0
09-002-A-1-8,no,09-002A,No,2015,Embayment,No,NO,NO,NO,1988,33,27,662.37,1680,Fraser,Main,541,0.54,0,1.269999981,1.069999981,10.69999981,15.51,86,7,5,2,1.070936,0.541322,91.6667,0,8.3333,0
09-002-A-1-9,no,09-002A,No,2015,Embayment,No,NO,NO,NO,1988,33,27,662.37,1680,Fraser,Main,541,0.54,0,1.139999986,0.939999986,9.39999986,16.38,117,5,4,1,0.80364,0.509379,98.0952,0,1.9048,0
09-002-B-1-1,no,09-002B,No,2015,Embayment,No,NO,NO,NO,1988,33,27,238.93,1680,Fraser,Main,521,0.52,0,1.090000033,0.890000033,8.90000033,3.37,101,2,2,0,0.325083,0.18,100,0,0,0
09-002-B-1-10,no,09-002B,No,2015,Embayment,No,NO,NO,NO,1988,33,27,238.93,1680,Fraser,Main,521,0.52,0,1.629999995,1.429999995,14.29999995,5.94,99,6,5,1,0.911746,0.45775,90.5882,9.4118,0,0
09-002-B-1-2,no,09-002B,No,2015,Embayment,No,NO,NO,NO,1988,33,27,238.93,1680,Fraser,Main,521,0.52,0,0.949999988,0.749999988,7.49999988,1.51,NA,1,1,0,0,0,100,0,0,0
09-002-B-1-3,no,09-002B,No,2015,Embayment,No,NO,NO,NO,1988,33,27,238.93,1680,Fraser,Main,521,0.52,0,1.220000029,1.020000029,10.20000029,2.88,NA,1,1,0,0,0,100,0,0,0
09-002-B-1-4,no,09-002B,No,2015,Embayment,No,NO,NO,NO,1988,33,27,238.93,1680,Fraser,Main,521,0.52,0,1.029999971,0.829999971,8.29999971,3.27,114,2,2,0,0.131692,0.056556,100,0,0,0
09-002-B-1-5,no,09-002B,No,2015,Embayment,No,NO,NO,NO,1988,33,27,238.93,1680,Fraser,Main,521,0.52,0,0.119999997,-0.080000003,-0.80000003,0,88,3,2,1,0.163024,0.073964,91.7647,0,0,8.2353
09-002-B-1-6,no,09-002B,No,2015,Embayment,No,NO,NO,NO,1988,33,27,238.93,1680,Fraser,Main,521,0.52,0,1,0.8,8,7.91,88,1,1,0,0,0,100,0,0,0
09-002-B-1-7,no,09-002B,No,2015,Embayment,No,NO,NO,NO,1988,33,27,238.93,1680,Fraser,Main,521,0.52,0,1.25,1.05,10.5,9.3,95,2,2,0,0.191444,0.090703,100,0,0,0
09-002-B-1-8,no,09-002B,No,2015,Embayment,No,NO,NO,NO,1988,33,27,238.93,1680,Fraser,Main,521,0.52,0,1.120000005,0.920000005,9.20000005,5.6,111,3,3,0,0.74183,0.509754,100,0,0,0
09-002-B-1-9,no,09-002B,No,2015,Embayment,No,NO,NO,NO,1988,33,27,238.93,1680,Fraser,Main,521,0.52,0,1.450000048,1.250000048,12.50000048,6.83,94,4,4,0,0.51086,0.233819,100,0,0,0
09-004-1-1,yes,09-004,No,2015,Protruding,No,NO,NO,YES,1990,31,25,736.14,410,Fraser,Main,9784,9.78,0,1.679999948,1.479999948,14.79999948,3.96,NA,2,0,2,0,1,0,0,100,0
09-004-1-10,yes,09-004,No,2015,Protruding,No,NO,NO,YES,1990,31,25,736.14,410,Fraser,Main,9784,9.78,0,0.230000004,0.030000004,0.30000004,0,142,6,4,2,0.480889,0.231125,90.8333,8.3333,0,0.8333
09-004-1-2,yes,09-004,No,2015,Protruding,No,NO,NO,YES,1990,31,25,736.14,410,Fraser,Main,9784,9.78,0,0.709999979,0.509999979,5.09999979,1.07,NA,8,3,5,0.867563,0.5,7.8947,2.6316,81.5789,7.8947
09-004-1-3,yes,09-004,No,2015,Protruding,No,NO,NO,YES,1990,31,25,736.14,410,Fraser,Main,9784,9.78,0,0.75999999,0.55999999,5.5999999,1.46,147,8,4,4,0.965164,0.507813,79.4326,14.1844,5.6738,0.7092
09-004-1-4,yes,09-004,No,2015,Protruding,No,NO,NO,YES,1990,31,25,736.14,410,Fraser,Main,9784,9.78,0,0.970000029,0.770000029,7.70000029,1.7,144,9,5,4,1.279523,0.652508,59.375,31.25,8.3333,1.0417
09-004-1-5,yes,09-004,No,2015,Protruding,No,NO,NO,YES,1990,31,25,736.14,410,Fraser,Main,9784,9.78,0,0.939999998,0.739999998,7.39999998,1.9,140,8,4,4,0.678282,0.326875,69.5652,4.3478,21.7391,4.3478
09-004-1-6,yes,09-004,No,2015,Protruding,No,NO,NO,YES,1990,31,25,736.14,410,Fraser,Main,9784,9.78,0,0.939999998,0.739999998,7.39999998,2.15,220,11,7,4,1.882534,0.843313,79.3814,10.3093,7.2165,3.0928
09-004-1-7,yes,09-004,No,2015,Protruding,No,NO,NO,YES,1990,31,25,736.14,410,Fraser,Main,9784,9.78,0,0.100000001,-0.099999999,-0.99999999,0,149,5,4,1,0.563002,0.277895,73.0769,26.9231,0,0
09-004-1-8,yes,09-004,No,2015,Protruding,No,NO,NO,YES,1990,31,25,736.14,410,Fraser,Main,9784,9.78,0,0.769999981,0.569999981,5.69999981,2.86,174,5,2,3,0.291683,0.156157,75.9259,13.8889,10.1852,0
09-004-1-9,yes,09-004,No,2015,Protruding,No,NO,NO,YES,1990,31,25,736.14,410,Fraser,Main,9784,9.78,0,0.589999974,0.389999974,3.89999974,1.33,178,4,2,2,0.126931,0.054012,73.8462,0,25.641,0.5128
09-008-A-1-1,no,09-008A,No,2015,Protruding,No,NO,NO,YES,1991,30,24,249.94,810,Fraser,Main,10716,10.72,1,1.269999981,1.069999981,10.69999981,0.51,148,6,4,2,0.59851,0.292824,72,25,0,3
09-008-A-1-2,no,09-008A,No,2015,Protruding,No,NO,NO,YES,1991,30,24,249.94,810,Fraser,Main,10716,10.72,1,2.349999905,2.149999905,21.49999905,0.74,NA,5,1,4,0,0,13.3333,13.3333,73.3333,0
09-008-A-1-3,no,09-008A,No,2015,Protruding,No,NO,NO,YES,1991,30,24,249.94,810,Fraser,Main,10716,10.72,1,1.50999999,1.50999999,15.0999999,0.18,100,9,6,3,1.455911,0.732897,19.2488,75.1174,2.8169,2.8169
09-008-A-1-4,no,09-008A,No,2015,Protruding,No,NO,NO,YES,1991,30,24,249.94,810,Fraser,Main,10716,10.72,1,1.789999962,1.589999962,15.89999962,0.78,162,5,2,3,0.217519,0.1068,46.9027,48.6726,1.7699,2.6549
09-008-A-1-5,no,09-008A,No,2015,Protruding,No,NO,NO,YES,1991,30,24,249.94,810,Fraser,Main,10716,10.72,1,1,1,10,0,NA,6,3,3,0.822572,0.529586,49.7608,47.8469,1.9139,0.4785
09-008-A-2-1,no,09-008A,No,2015,Protruding,No,NO,NO,YES,1991,30,24,249.94,810,Fraser,Main,10716,10.72,1,1.460000038,1.260000038,12.60000038,0.6,NA,3,0,3,0,1,0,0,100,0
09-008-A-2-2,no,09-008A,No,2015,Protruding,No,NO,NO,YES,1991,30,24,249.94,810,Fraser,Main,10716,10.72,1,2.289999962,2.089999962,20.89999962,1.88,NA,4,1,3,0,0,3.937,0,96.063,0
